google_index,page_rank,nb_hyperlinks,web_traffic,nb_www,domain_age,ratio_extHyperlinks,longest_word_path,phish_hints,ratio_intHyperlinks,safe_anchor,ratio_digits_url,longest_words_raw,length_hostname,links_in_tags,avg_word_path,length_words_raw,char_repeat,domain_registration_length,ratio_extRedirection,shortest_word_host,ratio_digits_host,nb_slash,shortest_word_path,domain_in_title,nb_dots,nb_hyphens,avg_words_raw,status
1,4,17,0,1,-1,0.470588235,6,0,0.529411765,0.0,0.0,11,19,80.0,4.5,4,4,45,0.875,3,0.0,3,3,0,3,0,5.75,0
1,2,30,0,0,5767,0.033333333,32,0,0.966666667,100.0,0.220779221,32,23,100.0,14.66666667,4,4,77,0.0,19,0.0,5,2,1,1,0,15.75,1
1,0,4,5828815,0,4004,0.0,17,0,1.0,100.0,0.150793651,17,50,100.0,8.142857142999999,12,2,14,0.0,3,0.0,5,2,1,4,1,8.25,1
0,3,149,107721,0,-1,0.026845638,0,0,0.973154362,62.5,0.0,5,11,100.0,0.0,1,0,62,0.25,5,0.0,2,0,1,2,0,5.0,0
0,6,102,8725,1,8175,0.529411765,11,0,0.470588235,0.0,0.0,11,15,76.47058824,7.0,6,3,224,0.537037037,3,0.0,5,4,0,2,2,6.333333333,0
1,0,10,0,0,-1,0.7,0,0,0.3,0.0,0.0,7,24,100.0,0.0,4,3,0,0.571428571,3,0.0,3,0,1,3,1,4.5,1
0,1,98,0,1,7529,0.918367347,0,0,0.081632653,100.0,0.0,5,12,0.0,0.0,2,3,170,0.0,3,0.0,2,0,0,2,0,4.0,0
1,2,30,0,1,5767,0.033333333,32,0,0.966666667,100.0,0.259259259,32,27,100.0,14.66666667,5,8,76,0.0,3,0.0,5,2,1,2,0,13.2,1
0,5,63,0,0,7298,0.793650794,0,0,0.206349206,27.27272727,0.0,21,34,0.0,0.0,2,0,371,0.38,8,0.0,3,0,1,2,0,14.5,0
0,5,140,6774,0,9368,0.221428571,10,1,0.7785714290000001,58.13953488,0.076923077,10,10,93.10344828,5.538461538,14,0,128,0.193548387,6,0.0,6,2,1,1,10,5.571428571,0
0,2,15,1627089,1,-1,0.0,7,0,1.0,0.0,0.0,15,22,100.0,5.5,6,3,0,0.0,3,0.0,4,3,1,3,0,6.666666667,0
0,6,88,944,1,7911,0.0681818179999999,6,0,0.931818182,62.5,0.186046512,8,16,100.0,3.75,6,3,489,0.166666667,3,0.0,3,2,1,2,3,4.333333333,0
0,4,325,158942,0,1505,0.224615385,10,0,0.775384615,38.79310345,0.012048193,10,14,100.0,5.0,11,2,320,0.04109589,10,0.0,4,3,1,1,9,5.454545455,0
1,4,3,1173197,0,1761,0.0,8,0,1.0,0.0,0.064516129,8,10,0.0,6.0,3,1,66,0.0,4,0.0,3,4,1,2,0,5.333333333,1
0,2,211,4297684,1,2041,0.0663507109999999,0,0,0.933649289,69.69696970000001,0.0,8,16,82.35294118,0.0,2,4,880,0.357142857,3,0.0,3,0,0,2,0,5.5,0
0,4,50,0,0,3892,0.0,7,0,1.0,0.0,0.019607843,12,23,100.0,5.666666667,5,1,490,0.0,4,0.0,4,5,1,3,0,6.6,1
0,4,125,99386,1,8301,0.04,0,0,0.96,76.19047619,0.0,14,22,100.0,0.0,2,3,3069,0.2,3,0.0,3,0,1,2,0,8.5,0
1,0,23,0,0,2316,0.0,8,0,1.0,0.0,0.06,12,21,100.0,6.333333333,5,0,1337,0.0,4,0.0,5,5,1,2,0,7.0,1
1,0,0,0,1,2935,0.0,2,0,0.0,0.0,0.0,15,23,0.0,2.0,3,3,352,0.0,3,0.0,4,2,1,2,0,6.666666667,1
0,2,219,927214,1,3932,0.02283105,0,0,0.97716895,0.0,0.148148148,11,19,66.66666667,0.0,2,3,451,0.0,3,0.210526316,3,0,1,2,0,7.0,0
0,5,147,26017,1,8759,0.115646259,8,0,0.884353741,92.75362319,0.0,8,14,92.59259259,5.833333333,8,3,70,0.0,3,0.0,7,2,0,3,2,5.25,0
0,6,77,1040,0,5647,0.181818182,9,0,0.818181818,0.0,0.0,9,16,76.92307692,6.0,8,0,926,0.214285714,4,0.0,4,4,1,2,4,5.875,0
1,0,13,0,0,1184,0.076923077,7,0,0.923076923,0.0,0.1,7,11,100.0,4.5,5,0,277,0.0,7,0.0,5,1,1,2,0,5.0,1
0,4,59,4672316,0,3476,0.084745763,9,0,0.915254237,50.0,0.0,9,16,100.0,5.25,6,0,541,0.2,5,0.0,4,3,1,1,3,5.333333333,0
1,0,51,5707171,0,3993,0.0,17,0,1.0,100.0,0.095238095,17,50,100.0,7.375,13,7,25,0.0,3,0.0,4,2,1,4,1,7.769230769,1
1,5,21,0,0,7296,0.7142857140000001,0,0,0.285714286,0.0,0.0,19,32,46.15384615,0.0,2,0,373,0.0,8,0.0,3,0,1,2,0,13.5,1
0,4,115,2203390,1,6989,0.026086957,0,0,0.973913043,90.32258065,0.0,19,27,100.0,0.0,2,3,315,0.333333333,3,0.0,3,0,1,2,0,11.0,0
0,5,68,5964,1,4845,0.352941176,8,0,0.647058824,20.0,0.0,8,24,66.66666667,4.714285714,11,5,634,0.083333333,3,0.0,5,2,1,2,7,4.545454545,0
1,0,51,5707171,0,3993,0.0,15,0,1.0,100.0,0.161764706,15,42,100.0,8.5,6,3,25,0.0,3,0.0,4,2,1,4,0,8.666666667000001,1
1,0,31,0,1,-1,0.516129032,18,1,0.483870968,0.0,0.398773006,18,14,66.66666667,8.4,17,14,0,0.4375,3,0.0,3,1,1,4,9,8.0,1
0,4,95,390047,1,1170,0.052631579,0,0,0.947368421,50.0,0.0,10,18,92.85714286,0.0,2,3,290,0.2,3,0.0,3,0,0,2,0,6.5,0
1,1,36,0,0,1237,0.611111111,32,0,0.388888889,0.0,0.34375,32,17,20.0,19.0,4,3,224,0.0,3,0.0,4,6,1,2,0,12.5,1
1,5,21,0,0,5627,0.80952381,0,0,0.19047619,25.0,0.25,11,28,0.0,0.0,4,1,217,0.294117647,1,0.321428571,3,0,1,4,0,5.25,1
1,0,3,9264543,0,3767,1.0,10,0,0.0,0.0,0.0,10,14,0.0,5.666666667,7,1,251,0.0,10,0.0,6,3,1,2,0,6.285714286,1
0,7,105,13,0,9316,0.457142857,21,0,0.542857143,0.0,0.212121212,21,17,0.0,9.25,6,3,911,0.0625,5,0.0,4,3,0,2,0,8.166666667000001,0
0,4,16,0,1,7849,0.625,0,0,0.375,45.45454545,0.0,19,26,0.0,0.0,2,3,125,0.4,3,0.0,3,0,1,2,0,11.0,0
0,2,417,0,1,3920,0.6882494,10,0,0.3117506,0.0,0.0,20,24,96.66666667,4.466666667,16,4,97,0.146341463,20,0.0,10,2,1,5,0,5.4375,1
0,8,27,0,0,5159,0.518518519,0,0,0.481481481,8.333333332999999,0.0,6,34,40.0,0.0,6,3,1049,0.7142857140000001,2,0.0,2,0,1,2,4,4.166666667,0
0,3,160,74862,1,-1,0.125,3,0,0.875,17.39130435,0.0,3,12,100.0,3.0,4,3,78,0.35,1,0.0,3,3,1,2,1,2.5,0
0,7,183,5828226,0,5230,0.267759563,0,1,0.7322404370000001,22.80701754,0.0,7,24,72.22222222,0.0,3,2,248,0.346938776,5,0.0,2,0,1,2,1,6.0,0
1,1,23,0,0,3125,0.0,9,4,1.0,100.0,0.0,26,30,100.0,4.875,9,0,162,0.0,26,0.0,7,2,1,2,2,7.222222222,1
1,4,1,544886,0,5026,0.0,4,0,1.0,0.0,0.0,8,17,100.0,4.0,3,0,88,0.0,4,0.0,3,4,1,2,0,5.333333333,1
1,2,22,0,1,2300,0.454545455,32,2,0.545454545,60.0,0.295918367,32,26,40.0,8.142857142999999,10,4,257,0.0,3,0.0,9,2,1,2,2,7.8,1
0,2,35,1671658,0,2580,0.028571429,0,0,0.971428571,0.0,0.0,5,8,94.44444444,0.0,1,1,0,0.0,5,0.0,2,0,0,1,0,5.0,0
0,7,265,7698,0,5825,0.060377358,9,0,0.939622642,76.66666667,0.0,13,22,100.0,5.0,8,3,3305,0.0,4,0.0,4,3,0,2,0,5.875,0
1,4,26,0,0,8019,0.884615385,40,0,0.115384615,0.0,0.030534351,40,27,7.692307692000001,7.545454545,14,6,381,0.0,2,0.0,7,1,1,2,1,7.428571429,1
0,6,279,607,1,7839,0.258064516,10,0,0.7419354840000001,25.0,0.0,10,23,31.25,8.5,5,4,197,0.277777778,3,0.0,4,7,0,2,1,6.8,0
1,0,7,0,0,2306,1.0,10,0,0.0,0.0,0.0,14,32,0.0,10.0,3,1,250,0.0,13,0.0,4,10,1,2,0,12.33333333,1
0,6,420,6431,1,-1,0.023809524,9,0,0.976190476,94.68085106,0.133333333,9,11,94.73684211,5.5,6,4,0,0.1,3,0.0,5,3,1,3,0,4.666666667,0
1,0,13,0,0,1500,0.076923077,40,0,0.923076923,0.0,0.270440252,40,14,100.0,11.54545455,12,4,325,1.0,10,0.0,8,3,1,2,0,11.41666667,1
1,6,43,11657,1,2739,0.046511628,7,0,0.953488372,0.0,0.227272727,14,22,93.75,5.5,4,3,1278,0.0,3,0.1363636359999999,4,4,1,2,1,7.0,1
1,2,64,1508317,0,134,0.15625,44,0,0.84375,100.0,0.077669903,44,19,45.45454545,9.857142857,9,2,231,0.0,4,0.0,4,2,1,3,1,9.222222222,1
1,5,0,0,0,7802,0.0,7,0,0.0,0.0,0.0,7,20,0.0,3.75,7,1,517,0.0,4,0.0,5,2,1,4,0,4.285714286,1
0,7,253,12,0,7133,0.079051383,10,0,0.920948617,63.63636364,0.0,10,16,100.0,6.0,5,0,902,0.45,2,0.0,4,4,1,2,0,5.8,0
1,2,91,0,1,1690,0.384615385,11,0,0.615384615,50.0,0.0,16,26,28.57142857,7.5,4,4,137,0.142857143,3,0.0,5,4,1,3,0,8.5,1
1,0,184,0,1,1588,0.233695652,4,0,0.766304348,9.677419355,0.0,11,19,82.85714286,3.0,5,4,237,0.348837209,3,0.0,4,2,1,3,0,4.6,1
