google_index,domain_registration_length,page_rank,safe_anchor,nb_www,ratio_extRedirection,avg_words_raw,ratio_digits_url,nb_dots,ratio_digits_host,domain_age,domain_in_title,ratio_extHyperlinks,longest_words_raw,shortest_word_host,nb_hyperlinks,ratio_intHyperlinks,longest_word_path,length_hostname,avg_word_path,length_words_raw,phish_hints,shortest_word_path,nb_hyphens,web_traffic,char_repeat,links_in_tags,nb_slash,status
1,45,4,0.0,1,0.875,5.75,0.0,3,0.0,-1,0,0.470588235,11,3,17,0.529411765,6,19,4.5,4,0,3,0,0,4,80.0,3,0
1,77,2,100.0,0,0.0,15.75,0.220779221,1,0.0,5767,1,0.033333333,32,19,30,0.966666667,32,23,14.66666667,4,0,2,0,0,4,100.0,5,1
1,14,0,100.0,0,0.0,8.25,0.150793651,4,0.0,4004,1,0.0,17,3,4,1.0,17,50,8.142857142999999,12,0,2,1,5828815,2,100.0,5,1
0,62,3,62.5,0,0.25,5.0,0.0,2,0.0,-1,1,0.026845638,5,5,149,0.973154362,0,11,0.0,1,0,0,0,107721,0,100.0,2,0
0,224,6,0.0,1,0.537037037,6.333333333,0.0,2,0.0,8175,0,0.529411765,11,3,102,0.470588235,11,15,7.0,6,0,4,2,8725,3,76.47058824,5,0
1,0,0,0.0,0,0.571428571,4.5,0.0,3,0.0,-1,1,0.7,7,3,10,0.3,0,24,0.0,4,0,0,1,0,3,100.0,3,1
0,170,1,100.0,1,0.0,4.0,0.0,2,0.0,7529,0,0.918367347,5,3,98,0.081632653,0,12,0.0,2,0,0,0,0,3,0.0,2,0
1,76,2,100.0,1,0.0,13.2,0.259259259,2,0.0,5767,1,0.033333333,32,3,30,0.966666667,32,27,14.66666667,5,0,2,0,0,8,100.0,5,1
0,371,5,27.27272727,0,0.38,14.5,0.0,2,0.0,7298,1,0.793650794,21,8,63,0.206349206,0,34,0.0,2,0,0,0,0,0,0.0,3,0
0,128,5,58.13953488,0,0.193548387,5.571428571,0.076923077,1,0.0,9368,1,0.221428571,10,6,140,0.7785714290000001,10,10,5.538461538,14,1,2,10,6774,0,93.10344828,6,0
0,0,2,0.0,1,0.0,6.666666667,0.0,3,0.0,-1,1,0.0,15,3,15,1.0,7,22,5.5,6,0,3,0,1627089,3,100.0,4,0
0,489,6,62.5,1,0.166666667,4.333333333,0.186046512,2,0.0,7911,1,0.0681818179999999,8,3,88,0.931818182,6,16,3.75,6,0,2,3,944,3,100.0,3,0
0,320,4,38.79310345,0,0.04109589,5.454545455,0.012048193,1,0.0,1505,1,0.224615385,10,10,325,0.775384615,10,14,5.0,11,0,3,9,158942,2,100.0,4,0
1,66,4,0.0,0,0.0,5.333333333,0.064516129,2,0.0,1761,1,0.0,8,4,3,1.0,8,10,6.0,3,0,4,0,1173197,1,0.0,3,1
0,880,2,69.69696970000001,1,0.357142857,5.5,0.0,2,0.0,2041,0,0.0663507109999999,8,3,211,0.933649289,0,16,0.0,2,0,0,0,4297684,4,82.35294118,3,0
0,490,4,0.0,0,0.0,6.6,0.019607843,3,0.0,3892,1,0.0,12,4,50,1.0,7,23,5.666666667,5,0,5,0,0,1,100.0,4,1
0,3069,4,76.19047619,1,0.2,8.5,0.0,2,0.0,8301,1,0.04,14,3,125,0.96,0,22,0.0,2,0,0,0,99386,3,100.0,3,0
1,1337,0,0.0,0,0.0,7.0,0.06,2,0.0,2316,1,0.0,12,4,23,1.0,8,21,6.333333333,5,0,5,0,0,0,100.0,5,1
1,352,0,0.0,1,0.0,6.666666667,0.0,2,0.0,2935,1,0.0,15,3,0,0.0,2,23,2.0,3,0,2,0,0,3,0.0,4,1
0,451,2,0.0,1,0.0,7.0,0.148148148,2,0.210526316,3932,1,0.02283105,11,3,219,0.97716895,0,19,0.0,2,0,0,0,927214,3,66.66666667,3,0
0,70,5,92.75362319,1,0.0,5.25,0.0,3,0.0,8759,0,0.115646259,8,3,147,0.884353741,8,14,5.833333333,8,0,2,2,26017,3,92.59259259,7,0
0,926,6,0.0,0,0.214285714,5.875,0.0,2,0.0,5647,1,0.181818182,9,4,77,0.818181818,9,16,6.0,8,0,4,4,1040,0,76.92307692,4,0
1,277,0,0.0,0,0.0,5.0,0.1,2,0.0,1184,1,0.076923077,7,7,13,0.923076923,7,11,4.5,5,0,1,0,0,0,100.0,5,1
0,541,4,50.0,0,0.2,5.333333333,0.0,1,0.0,3476,1,0.084745763,9,5,59,0.915254237,9,16,5.25,6,0,3,3,4672316,0,100.0,4,0
1,25,0,100.0,0,0.0,7.769230769,0.095238095,4,0.0,3993,1,0.0,17,3,51,1.0,17,50,7.375,13,0,2,1,5707171,7,100.0,4,1
1,373,5,0.0,0,0.0,13.5,0.0,2,0.0,7296,1,0.7142857140000001,19,8,21,0.285714286,0,32,0.0,2,0,0,0,0,0,46.15384615,3,1
0,315,4,90.32258065,1,0.333333333,11.0,0.0,2,0.0,6989,1,0.026086957,19,3,115,0.973913043,0,27,0.0,2,0,0,0,2203390,3,100.0,3,0
0,634,5,20.0,1,0.083333333,4.545454545,0.0,2,0.0,4845,1,0.352941176,8,3,68,0.647058824,8,24,4.714285714,11,0,2,7,5964,5,66.66666667,5,0
1,25,0,100.0,0,0.0,8.666666667000001,0.161764706,4,0.0,3993,1,0.0,15,3,51,1.0,15,42,8.5,6,0,2,0,5707171,3,100.0,4,1
